name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers
Multiplayer Platform Golf,29-02-2024,0.0004877281012132,0.1497599039615846,0.001442892893325,3.0495567217758395,92,Indie,Robot Assembly,Robot Assembly
X Invader,12-08-2024,0.0005844473944967,0.1497599039615846,0.0014167843963799,9.398892187788531,80,Indie,ALLAF GAMES,ALLAF GAMES
clickyland,03-06-2024,0.000981865116243,0.1497599039615846,0.0032992331056436,3.507301277365972,84,Indie,Sokpop Collective,Sokpop Collective
Be My Horde,18-06-2024,0.0004304708001102,0.1497599039615846,0.0011186085544649,4.340932988101288,88,Indie,Polished Games,Polished Games
Bloody Heaven 2,11-05-2024,0.0004796274944094,0.1497599039615846,0.0012052794916046,2.607953214827291,87,Indie,ShaneGame,ShaneGame
Crawling Lab,16-06-2024,0.0004304057349953,0.1497599039615846,0.0010619580422255,7.859513090811096,83,Indie,eTIRUe,eTIRUe
PegIdle,19-06-2024,0.000442377716135,0.1497599039615846,0.0010873710853119,43.43774505157989,79,Indie,EagleEye Games,EagleEye Games
April 24th,23-04-2024,0.0004316419721782,0.1497599039615846,0.0011039170917,0.7359780707779322,85,Indie,EMIKA_GAMES,NOBODY
Lootun,14-05-2024,0.000725248303118,0.164765906362545,0.0025045032086212,64.13552450605829,94,Indie,ArrowSoftGames,ArrowSoftGames
Space industrial empire,24-05-2024,0.0003995323379802,0.1797719087635054,0.0010298802329932,185.925273584738,83,Indie,游戏养家工作室,游戏养家工作室
Love Chase,20-05-2024,0.000344454718226,0.1797719087635054,0.0009411229342774,5.78766925311464,88,Indie,Topgame,Topgame
鬼打墙（剧情版）,05-01-2024,7.840346344209164e-05,0.1797719087635054,3.523632884048892e-05,2.69150452328492,76,Indie,KX GAMES,KX GAMES
KinitoPET,09-01-2024,0.0073805311772836,0.1797719087635054,0.0332032853935738,3.2190117178611835,94,Indie,troy_en,troy_en
Murky Divers,19-06-2024,0.0043241950030121,0.1797719087635054,0.0169444145173906,5.7234479424214015,88,Indie,Oro Interactive,Embers
Zoonomaly,06-03-2024,0.0013794455007765,0.1797719087635054,0.0061342797378533,6.127524221454782,72,Indie,LIGHTS ARE OFF LLC,LIGHTS ARE OFF LLC
Night Raider,26-01-2024,0.0014400211227388,0.1797719087635054,0.0041457743151387,28.066198713115263,86,Indie,Tsukuyomi,Tsukuyomi
Croakoloco,06-05-2024,0.0002978030308501,0.1797719087635054,0.0006677805905666,15.216373611874015,93,Indie,Ryan Forrester,Ryan Forrester
Journey to the West Survivor,24-03-2024,0.0003330032580054,0.1797719087635054,0.0005982641819413,10.398218727760351,87,Indie,Leyo Games,Buding Games
Kukoro: Stream chat games,02-02-2024,0.001973522532277,0.1797719087635054,0.0044771291015622,17.006639023780735,98,Indie,HeyNau,HeyNau
无休仙途,25-07-2024,0.0002639041059926,0.1797719087635054,0.0005588841071928,43.543667833485095,77,Indie,GOCORE,GOCORE
